k,BHName
rice_pro,Bread and cereals
maiz,Bread and cereals
trce,Bread and cereals
tece,Bread and cereals
brans,Bread and cereals
livst_pig,Meat
livst_chick,Meat
sugr_beet,"Sugar, jam, honey, chocolate and confectionery"
sugr_cane,"Sugar, jam, honey, chocolate and confectionery"
sugar,Bread and cereals
puls_pro,FruitandVeg
sugar,"Sugar, jam, honey, chocolate and confectionery"
livst_rum,Meat
fish,Fish and seafood
livst_milk,"Milk, cheese and eggs"
livst_egg,"Milk, cheese and eggs"
oilcakes,Oils and fats
oilpalm,Oils and fats
oils,Oils and fats
rapeseed,FruitandVeg
others,FruitandVeg
others,FruitandVeg
potato,FruitandVeg
cassav_sp,FruitandVeg
groundnut,FruitandVeg
soybean,FruitandVeg
sunflower,FruitandVeg
